yymmdd,qty,rhm_avg,gsr_sum,discount,cust_grp_cd,biz_cd,line_cd,brand_cd,브랜드,SP1
2022-08-07,150.5,83.93,13.56,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-08-14,135.47,89.19,8.73,0.24,1095,P1,P103,P103054,칙촉,종로영업소
2022-08-21,76.87,79.15,12.25,0.24,1095,P1,P103,P103054,칙촉,종로영업소
2022-08-28,86.4,73.64,14.13,0.27,1095,P1,P103,P103054,칙촉,종로영업소
2022-09-04,129.13,74.82,15.29,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2022-09-11,141.87,73.46,19.09,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2022-09-18,77.9,0.0,0.0,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2022-09-25,179.4949718960679,61.03,19.07,0.24,1095,P1,P103,P103054,칙촉,종로영업소
2022-10-02,75.87,64.84,17.79,0.25,1095,P1,P103,P103054,칙촉,종로영업소
2022-10-09,140.0,76.0,11.33,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-10-16,119.53,69.79,17.53,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-10-23,90.28,56.68,17.77,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2022-10-30,89.05,0.0,0.0,0.24,1095,P1,P103,P103054,칙촉,종로영업소
2022-11-06,121.92,57.67,11.44,0.22,1095,P1,P103,P103054,칙촉,종로영업소
