yymmdd,qty,SP1,브랜드
2022-07-31,49.125,종로영업소,씨리얼
2022-08-07,43.5,종로영업소,씨리얼
2022-08-14,25.0,종로영업소,씨리얼
2022-08-21,27.3125,종로영업소,씨리얼
2022-08-28,48.0,종로영업소,씨리얼
2022-09-04,49.125,종로영업소,씨리얼
2022-09-11,33.6875,종로영업소,씨리얼
2022-09-18,25.0,종로영업소,씨리얼
2022-09-25,49.125,종로영업소,씨리얼
2022-10-02,31.25,종로영업소,씨리얼
2022-10-09,48.75,종로영업소,씨리얼
2022-10-16,40.75,종로영업소,씨리얼
2022-10-23,23.0,종로영업소,씨리얼
2022-10-30,49.125,종로영업소,씨리얼
2022-11-06,30.75,종로영업소,씨리얼
2022-11-13,45.5,종로영업소,씨리얼
2022-11-20,37.25,종로영업소,씨리얼
2022-11-27,23.0625,종로영업소,씨리얼
2022-12-04,21.75,종로영업소,씨리얼
2022-12-11,49.125,종로영업소,씨리얼
2022-12-18,22.3125,종로영업소,씨리얼
2022-12-25,20.5,종로영업소,씨리얼
2023-01-01,18.1875,종로영업소,씨리얼
2023-01-08,49.125,종로영업소,씨리얼
2023-01-15,49.125,종로영업소,씨리얼
2023-01-22,22.5,종로영업소,씨리얼
2020-03-22,42.53125,종로영업소,허쉬라지바
2020-03-29,16.546875,종로영업소,허쉬라지바
2020-04-05,9.2890625,종로영업소,허쉬라지바
2020-04-12,31.296875,종로영업소,허쉬라지바
2020-04-19,33.90625,종로영업소,허쉬라지바
